"Household saving ratio, seasonally adjusted"
,"Household saving ratio (%)"
"Dec-17","4.7"
"Mar-18","4.4"
"Jun-18","4.4"
"Sep-18","4.8"
"Dec-18","5.4"
"Mar-19","5.6"
"Jun-19","4.6"
"Sep-19","7.1"
"Dec-19","6.2"
"Mar-20","8.7"
"Jun-20","23.2"
"Sep-20","20.1"
"Dec-20","13.9"
"Mar-21","13.9"
"Jun-21","11.4"
"Sep-21","20.1"
"Dec-21","12.8"
"Mar-22","11.2"
"Jun-22","8.4"
"Sep-22","7.9"
"Dec-22","4.0"
"Mar-23","2.4"
"Jun-23","1.9"
"Sep-23","1.9"
"Dec-23","3.3"
"Mar-24","2.8"
"Jun-24","3.1"
"Sep-24","4.8"
"Dec-24","5.5"
"Mar-25","6.8"
"Jun-25","5.8"
"Sep-25","6.1"
"Dec-25","6.9"

"Source: Australian Bureau of Statistics, Australian National Accounts: National Income, Expenditure and Product December 2025"
