"Household saving ratio, seasonally adjusted"
,"Household savings (ratio)"
"Jun-03","-0.1"
"Sep-03","-0.8"
"Dec-03","-0.8"
"Mar-04","-1.1"
"Jun-04","2.2"
"Sep-04","-0.3"
"Dec-04","0.8"
"Mar-05","1.8"
"Jun-05","2.3"
"Sep-05","1.7"
"Dec-05","0.6"
"Mar-06","0.4"
"Jun-06","-1.1"
"Sep-06","1.4"
"Dec-06","1.5"
"Mar-07","0.8"
"Jun-07","2.2"
"Sep-07","1.0"
"Dec-07","1.6"
"Mar-08","3.2"
"Jun-08","4.3"
"Sep-08","5.3"
"Dec-08","10.9"
"Mar-09","8.5"
"Jun-09","10.0"
"Sep-09","6.5"
"Dec-09","6.7"
"Mar-10","7.4"
"Jun-10","6.4"
"Sep-10","7.4"
"Dec-10","8.6"
"Mar-11","9.2"
"Jun-11","8.3"
"Sep-11","8.8"
"Dec-11","9.9"
"Mar-12","7.9"
"Jun-12","9"
"Sep-12","6.2"
"Dec-12","7.5"
"Mar-13","8.1"
"Jun-13","7.9"
"Sep-13","7.3"
"Dec-13","7.9"
"Mar-14","7.9"
"Jun-14","8.4"
"Sep-14","8.2"
"Dec-14","8.3"
"Mar-15","7.5"
"Jun-15","7.9"
"Sep-15","7"
"Dec-15","5.6"
"Mar-16","5.4"
"Jun-16","5.9"
"Sep-16","5.4"
"Dec-16","4.8"
"Mar-17","5"
"Jun-17","4.3"
"Sep-17","4.1"
"Dec-17","4.4"
"Mar-18","3.9"
"Jun-18","3.2"
"Sep-18","2.5"
"Dec-18","2.7"
"Mar-19","3"
"Jun-19","2.3"

"Source: Australian Bureau of Statistics, Australian National Accounts: National Income, Expenditure and Product June 2019"
