date,quarter,cash_rate,saving_rate
2000-04-01,2000Q2,5.9011,0.1
2001-04-01,2001Q2,5.0165,1.4
2002-04-01,2002Q2,4.4698,2.6
2003-04-01,2003Q2,4.75,-1.5
2004-04-01,2004Q2,5.25,-0.9
2005-04-01,2005Q2,5.5,0.1
2006-04-01,2006Q2,5.6621,-1.0
2007-04-01,2007Q2,6.25,-0.4
2008-04-01,2008Q2,7.25,0.8
2009-04-01,2009Q2,3.0192,7.5
2010-04-01,2010Q2,4.3901,5.4
2011-04-01,2011Q2,4.75,7.2
2012-04-01,2012Q2,3.8516,7.7
2013-04-01,2013Q2,2.8516,6.2
2014-04-01,2014Q2,2.5,7.1
2015-04-01,2015Q2,2.0962,7.4
2016-04-01,2016Q2,1.8407,5.9
2017-04-01,2017Q2,1.5,5.2
2018-04-01,2018Q2,1.5,4.5
2019-04-01,2019Q2,1.4286,5.2
2020-04-01,2020Q2,0.25,11.6
2021-04-01,2021Q2,0.1,15.0
2022-04-01,2022Q2,0.3857,13.5
2023-04-01,2023Q2,3.828,4.3
2024-04-01,2024Q2,4.35,3.0
2025-04-01,2025Q2,3.9874,5.9
