date,saving_rate
Mar-11,9.2
Jun-11,8.3
Sep-11,8.8
Dec-11,9.9
Mar-12,7.9
Jun-12,9
Sep-12,6.2
Dec-12,7.5
Mar-13,8.1
Jun-13,7.9
Sep-13,7.3
Dec-13,7.9
Mar-14,7.9
Jun-14,8.4
Sep-14,8.2
Dec-14,8.3
Mar-15,7.5
Jun-15,7.9
Sep-15,7
Dec-15,5.6
Mar-16,5.4
Jun-16,5.9
Sep-16,5.4
Dec-16,4.8
Mar-17,5
Jun-17,4.3
Sep-17,4.1
Dec-17,4.4
Mar-18,3.9
Jun-18,3.2
Sep-18,2.5
Dec-18,2.7
Mar-19,3
Jun-19,2.3
Sep-19,7.1
Dec-19,6.2
Mar-20,8.7
Jun-20,23.2
Sep-20,20.1
Dec-20,13.9
Mar-21,13.9
Jun-21,11.4
Sep-21,20.1
Dec-21,12.8
Mar-22,11.2
Jun-22,8.4
Sep-22,7.9
Dec-22,4
Mar-23,2.4
Jun-23,1.9
Sep-23,1.9
Dec-23,3.3
Mar-24,2.8
Jun-24,3.1
Sep-24,4.8
Dec-24,5.5
Mar-25,6.8
Jun-25,5.8
Sep-25,6.1
Dec-25,6.9
