Col,Specification,β (cash rate),SE,p-value,R²,N,What varies
(1),Main,-0.162,(0.560),0.772,0.040,102,"Preferred: FD, HAC(4), Δcash(−1), Δsave(−1), COVID"
(2),No controls,+0.089,(0.559),0.873,0.000,102,Drops Δsave(−1) and COVID dummy
(3),+ GFC + lag2,-0.072,(0.905),0.937,0.069,101,Adds GFC dummy and Δsave(−2)
(4),Excl. COVID,+0.009,(0.520),0.986,0.017,94,Drops 2020Q1–2021Q4 (7 obs removed)
(5),Post-2007,-0.324,(0.629),0.606,0.032,76,Restricts to 2007Q1 onward
(6),Levels,-1.083***,(0.119),0.000,0.650,104,"Undifferenced; y=saving_rate, x=cash_rate; HC3"
(7),IHS form,+0.050,(0.206),0.807,0.131,102,IHS of saving and cash rate change
(8),HC3 SE,-0.162,(0.586),0.782,0.040,102,"Same spec as main, HC3 instead of HAC(4)"
(9),HAC(2),-0.162,(0.556),0.770,0.040,102,"Same spec as main, HAC bandwidth = 2"
(10),Pre-COVID,+1.451***,(0.494),0.003,0.251,78,2000Q1–2019Q4; GFC dummy replaces COVID
